Step,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP
55,0.792380952,0.787619048,0.783809524,0.779047619,0.84,0.78952381,0.780952381,0.758095238,0.758095238,0.842857143,0.785714286,0.776190476,0.751428571,0.766666667,0.840952381,0.10952381,0.75047619,0.752380952,0.10952381,0.839047619
56,0.796190476,0.792380952,0.74952381,0.78,0.841904762,0.78952381,0.78,0.759047619,0.761904762,0.843809524,0.784761905,0.776190476,0.753333333,0.768571429,0.844761905,0.10952381,0.755238095,0.76952381,0.10952381,0.84
57,0.793333333,0.791428571,0.772380952,0.782857143,0.841904762,0.78952381,0.793333333,0.754285714,0.76,0.842857143,0.785714286,0.776190476,0.75047619,0.768571429,0.845714286,0.10952381,0.744761905,0.755238095,0.10952381,0.841904762
58,0.797142857,0.794285714,0.768571429,0.779047619,0.841904762,0.788571429,0.788571429,0.753333333,0.758095238,0.843809524,0.784761905,0.777142857,0.756190476,0.764761905,0.846666667,0.10952381,0.739047619,0.760952381,0.10952381,0.841904762
59,0.799047619,0.794285714,0.78,0.778095238,0.842857143,0.788571429,0.774285714,0.747619048,0.759047619,0.845714286,0.783809524,0.776190476,0.74952381,0.759047619,0.845714286,0.10952381,0.757142857,0.75047619,0.10952381,0.841904762
60,0.801904762,0.800952381,0.778095238,0.776190476,0.843809524,0.788571429,0.78952381,0.76,0.76,0.844761905,0.782857143,0.776190476,0.74952381,0.765714286,0.845714286,0.10952381,0.731428571,0.761904762,0.10952381,0.840952381
61,0.803809524,0.802857143,0.782857143,0.779047619,0.843809524,0.788571429,0.788571429,0.752380952,0.76,0.843809524,0.780952381,0.773333333,0.755238095,0.761904762,0.846666667,0.10952381,0.751428571,0.767619048,0.10952381,0.842857143
62,0.803809524,0.805714286,0.78,0.778095238,0.844761905,0.79047619,0.795238095,0.755238095,0.756190476,0.845714286,0.780952381,0.775238095,0.756190476,0.760952381,0.846666667,0.10952381,0.753333333,0.754285714,0.10952381,0.844761905
63,0.804761905,0.807619048,0.787619048,0.779047619,0.844761905,0.791428571,0.799047619,0.754285714,0.760952381,0.844761905,0.780952381,0.778095238,0.753333333,0.762857143,0.847619048,0.10952381,0.752380952,0.758095238,0.10952381,0.843809524
64,0.806666667,0.81047619,0.784761905,0.778095238,0.843809524,0.793333333,0.796190476,0.761904762,0.760952381,0.844761905,0.781904762,0.780952381,0.759047619,0.763809524,0.848571429,0.10952381,0.751428571,0.764761905,0.10952381,0.843809524
65,0.806666667,0.805714286,0.778095238,0.78,0.843809524,0.794285714,0.796190476,0.765714286,0.762857143,0.844761905,0.782857143,0.781904762,0.743809524,0.766666667,0.847619048,0.10952381,0.755238095,0.766666667,0.10952381,0.843809524
66,0.804761905,0.808571429,0.788571429,0.78,0.843809524,0.792380952,0.791428571,0.763809524,0.765714286,0.844761905,0.777142857,0.784761905,0.739047619,0.760952381,0.847619048,0.10952381,0.75047619,0.762857143,0.10952381,0.842857143
67,0.80952381,0.807619048,0.773333333,0.778095238,0.843809524,0.794285714,0.794285714,0.755238095,0.758095238,0.845714286,0.777142857,0.786666667,0.757142857,0.768571429,0.846666667,0.10952381,0.744761905,0.763809524,0.10952381,0.842857143
